TxFinish,Amount,Type,Service,Category
2023-10-01 08:33:08,15700,Deposit,GOtv,TV
2023-10-01 08:33:57,2000,Deposit,MTN Uganda,Airtime
2023-10-01 08:35:10,1000,Deposit,Airtel Internet,Internet
2023-10-01 08:36:30,1500,Deposit,Lycamobile,Airtime
2023-10-01 08:38:18,1000,Deposit,Airtel Internet,Internet
2023-10-01 08:40:24,6000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 08:42:16,40000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 08:43:20,20000,Withdraw,Airtel Money,Mobile Money
2023-10-01 08:45:53,5000,Withdraw,Airtel Money,Mobile Money
2023-10-01 08:46:36,15000,Deposit,Lycamobile,Airtime
2023-10-01 08:47:53,1000,Deposit,Airtel Internet,Internet
2023-10-01 08:50:29,1000,Deposit,MTN Mobile Internet,Internet
2023-10-01 08:53:48,500,Deposit,Airtel Internet,Internet
2023-10-01 08:55:05,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 08:56:08,50000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 09:01:38,1200,Deposit,Airtel Uganda,Airtime
2023-10-01 09:07:01,1000,Deposit,Airtel Internet,Internet
2023-10-01 09:10:25,3000,Deposit,UMEME Yaka,Utilities
2023-10-01 09:14:57,2000,Deposit,Airtel Internet,Internet
2023-10-01 09:15:51,2000,Deposit,Airtel Internet,Internet
2023-10-01 09:16:53,5000,Deposit,Airtel Money,Mobile Money
2023-10-01 09:21:19,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 09:25:51,1000,Deposit,MTN Uganda,Airtime
2023-10-01 09:27:44,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 09:30:58,1000,Deposit,Airtel Uganda,Airtime
2023-10-01 09:32:18,2000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 09:33:38,9000,Deposit,UMEME Yaka,Utilities
2023-10-01 09:35:13,10000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 09:38:38,90000,Deposit,National Water,Utilities
2023-10-01 09:44:01,12000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 09:47:27,15700,Deposit,GOtv,TV
2023-10-01 09:51:18,2000,Deposit,Airtel Money,Mobile Money
2023-10-01 09:55:56,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 09:57:03,250000,Withdraw,Airtel Money,Mobile Money
2023-10-01 09:58:30,1000,Deposit,Airtel Uganda,Airtime
2023-10-01 09:59:45,10000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 10:01:51,1000,Deposit,MTN Mobile Internet,Internet
2023-10-01 10:03:32,10000,Withdraw,Airtel Money,Mobile Money
2023-10-01 10:04:49,30000,Withdraw,Airtel Money,Mobile Money
2023-10-01 10:05:52,1000,Deposit,Airtel Uganda,Airtime
2023-10-01 10:06:40,1000,Deposit,Airtel Internet,Internet
2023-10-01 10:07:22,1000,Deposit,MTN Mobile Internet,Internet
2023-10-01 10:08:31,290000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 10:10:46,85000,Withdraw,Airtel Money,Mobile Money
2023-10-01 10:16:38,15000,Deposit,Airtel Money,Mobile Money
2023-10-01 10:21:33,199000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 10:23:06,50000,Deposit,UMEME Yaka,Utilities
2023-10-01 10:24:06,14000,Deposit,Airtel Money,Mobile Money
2023-10-01 10:32:22,38000,Withdraw,Airtel Money,Mobile Money
2023-10-01 10:33:53,2000,Deposit,Airtel Money,Mobile Money
2023-10-01 10:38:25,1000,Deposit,MTN Uganda,Airtime
2023-10-01 10:39:37,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 10:40:40,15000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 10:43:20,2000,Deposit,Airtel Internet,Internet
2023-10-01 10:44:34,2000,Deposit,MTN Mobile Internet,Internet
2023-10-01 10:46:28,12000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 10:50:23,230000,Withdraw,Airtel Money,Mobile Money
2023-10-01 10:52:22,12000,Deposit,Airtel Money,Mobile Money
2023-10-01 10:53:07,50000,Withdraw,Airtel Money,Mobile Money
2023-10-01 10:54:50,15000,Deposit,UMEME Yaka,Utilities
2023-10-01 10:56:47,6000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 10:57:46,1000,Deposit,MTN Uganda,Airtime
2023-10-01 11:02:45,170000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 11:03:39,15000,Deposit,Lycamobile,Airtime
2023-10-01 11:04:21,31000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 11:05:34,80000,Deposit,Airtel Money,Mobile Money
2023-10-01 11:06:18,15000,Deposit,Lycamobile,Airtime
2023-10-01 11:07:05,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 11:07:55,1000,Deposit,Airtel Money,Mobile Money
2023-10-01 11:10:49,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 11:14:18,9000,Deposit,National Water,Utilities
2023-10-01 11:15:06,1500,Deposit,MTN Uganda,Airtime
2023-10-01 11:18:38,50000,Deposit,UMEME Yaka,Utilities
2023-10-01 11:27:19,1000,Deposit,Airtel Internet,Internet
2023-10-01 11:28:32,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 11:29:15,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 11:29:55,10000,Deposit,Airtel Money,Mobile Money
2023-10-01 11:30:51,5000,Deposit,Airtel Internet,Internet
2023-10-01 11:35:39,5000,Withdraw,Airtel Money,Mobile Money
2023-10-01 11:36:44,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 11:39:59,25000,Deposit,UMEME Yaka,Utilities
2023-10-01 11:43:41,1000,Deposit,MTN Uganda,Airtime
2023-10-01 11:45:02,5000,Deposit,UMEME Yaka,Utilities
2023-10-01 11:46:13,1100,Deposit,Airtel Uganda,Airtime
2023-10-01 11:52:33,15000,Deposit,Lycamobile,Airtime
2023-10-01 11:56:10,9000,Deposit,MTN Uganda,Airtime
2023-10-01 11:58:26,4500,Withdraw,Airtel Money,Mobile Money
2023-10-01 12:00:49,20000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 12:02:14,500,Deposit,Airtel Internet,Internet
2023-10-01 12:03:20,5000,Deposit,Airtel Money,Mobile Money
2023-10-01 12:05:04,20000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 12:13:27,6000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 12:15:30,5000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 12:17:15,1000,Deposit,Airtel Money,Mobile Money
2023-10-01 12:18:27,9000,Deposit,UMEME Yaka,Utilities
2023-10-01 12:19:02,2000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 12:19:40,10000,Withdraw,Airtel Money,Mobile Money
2023-10-01 12:20:48,20000,Deposit,UMEME Yaka,Utilities
2023-10-01 12:21:33,10000,Deposit,UMEME Yaka,Utilities
2023-10-01 12:22:21,500,Deposit,Airtel Internet,Internet
2023-10-01 12:24:57,3000,Deposit,MTN Uganda,Airtime
2023-10-01 12:25:28,2000,Deposit,MTN Uganda,Airtime
2023-10-01 12:26:48,156000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 12:28:49,10000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 12:30:12,50000,Withdraw,MTN Mobile Money,Mobile Money
2023-10-01 12:31:57,1500,Deposit,StarTimes TV,TV
2023-10-01 12:34:29,123500,Deposit,SIMBATV,Internet
2023-10-01 12:35:41,30000,Deposit,UMEME Yaka,Utilities
2023-10-01 12:37:36,500,Deposit,MTN Mobile Internet,Internet
2023-10-01 12:39:17,1000,Deposit,Airtel Internet,Internet
2023-10-01 12:41:05,1000,Deposit,MTN Mobile Internet,Internet
2023-10-01 12:41:59,40000,Deposit,MTN Mobile Money,Mobile Money
2023-10-01 12:45:32,1000,Deposit,Airtel Internet,Internet
